Mod:Item:MetaData, Localized Name
minecraft:potion:8237, Poção de Respiração Aquática
minecraft:potion:8269, Poção de Respiração Aquática
minecraft:potion:16429, Arremessável Poção de Respiração Aquática
minecraft:potion:16461, Arremessável Poção de Respiração Aquática
minecraft:potion:8238, Poção da Invisibilidade
minecraft:potion:8270, Poção da Invisibilidade
minecraft:potion:16430, Arremessável Poção da Invisibilidade
minecraft:potion:16462, Arremessável Poção da Invisibilidade
minecraft:glass_bottle, Frasco de Vidro
minecraft:spider_eye, Olho de Aranha
minecraft:fermented_spider_eye, Olho de Aranha Fermentado
minecraft:blaze_powder, Pó de Blaze
minecraft:magma_cream, Creme de Magma
minecraft:brewing_stand, Suporte de Poções
minecraft:cauldron, Caldeirão
minecraft:ender_eye, Olho do Fim
minecraft:speckled_melon, Melancia Reluzente
minecraft:spawn_egg:50, Invocar Creeper
minecraft:spawn_egg:51, Invocar Esqueleto
minecraft:spawn_egg:52, Invocar Aranha
minecraft:spawn_egg:54, Invocar Zumbi
minecraft:spawn_egg:55, Invocar Slime
minecraft:spawn_egg:56, Invocar Ghast
minecraft:spawn_egg:57, Invocar Homem-porco Zumbi
minecraft:spawn_egg:58, Invocar Enderman
minecraft:spawn_egg:59, Invocar Aranha da Caverna
minecraft:spawn_egg:60, Invocar Traça
minecraft:spawn_egg:61, Invocar Blaze
minecraft:spawn_egg:62, Invocar Cubo de Magma
minecraft:spawn_egg:65, Invocar Morcego
minecraft:spawn_egg:66, Invocar Bruxa
minecraft:spawn_egg:90, Invocar Porco
minecraft:spawn_egg:91, Invocar Ovelha
minecraft:spawn_egg:92, Invocar Vaca
minecraft:spawn_egg:93, Invocar Galinha
minecraft:spawn_egg:94, Invocar Lula
minecraft:spawn_egg:95, Invocar Lobo
minecraft:spawn_egg:96, Invocar Coguvaca
minecraft:spawn_egg:98, Invocar Jaguatirica
minecraft:spawn_egg:100, Invocar Cavalo
minecraft:spawn_egg:120, Invocar Aldeão
minecraft:experience_bottle, Frasco de Encantamentos
minecraft:fire_charge, Bola de Fogo
minecraft:writable_book, Pena e Livro
minecraft:written_book, Livro Escrito
minecraft:emerald, Esmeralda
minecraft:item_frame, Moldura
minecraft:flower_pot, Vaso de Flor
minecraft:carrot, Cenoura
minecraft:potato, Batata
minecraft:baked_potato, Batata Assada
minecraft:poisonous_potato, Batata Venenosa
minecraft:map, Mapa em Branco
minecraft:golden_carrot, Cenoura Dourada
minecraft:skull:0, Crânio de Esqueleto
minecraft:skull:1, Crânio de Esqueleto Wither
minecraft:skull:2, Cabeça de Zumbi
minecraft:skull:3, Cabeça
minecraft:skull:4, Cabeça de Creeper
minecraft:carrot_on_a_stick, Cenoura no Palito
minecraft:nether_star, Estrela do Nether
minecraft:pumpkin_pie, Torta de Abóbora
minecraft:fireworks, Fogos de Artifício
minecraft:firework_charge, Estrela de Fogos de Artifício
minecraft:enchanted_book, Livro Encantado
minecraft:comparator, Comparador de Redstone
minecraft:netherbrick, Tijolo do Nether
minecraft:quartz, Quartzo do Nether
minecraft:tnt_minecart, Carrinho com Dinamite
minecraft:hopper_minecart, Carrinho com Funil
Natura:door.bloodwood, Bloodwood Door
Natura:door.redwoodbark, Redwood Bark Door
Natura:bloodwood:0, Bloodwood
Natura:bloodwood:15, Bloodwood
Natura:soil.tainted, Tainted Soil
Natura:heatsand, Heat Sand
Natura:Dark Tree:0, Darkwood
Natura:Dark Tree:1, Fusewood
Natura:Dark Leaves:0, Darkwood Leaves
Natura:Dark Leaves:1, Darkwood Leaves
Natura:Dark Leaves:2, Darkwood Leaves
Natura:Dark Leaves:3, Fusewood Leaves
Natura:Thornvines, Thornvines
minecraft:iron_horse_armor, Armadura de Ferro para Cavalo
minecraft:golden_horse_armor, Armadura de Ouro para Cavalo
minecraft:diamond_horse_armor, Armadura de Diamante para Cavalo
minecraft:lead, Laço
minecraft:name_tag, Etiqueta
minecraft:command_block_minecart, Carrinho com Bloco de Comando
Natura:Glowshroom:0, Green Glowshroom
Natura:Glowshroom:1, Purple Glowshroom
Natura:Glowshroom:2, Blue Glowshroom
Natura:blueGlowshroom, Blue Glowshroom
Natura:purpleGlowshroom, Purple Glowshroom
Natura:greenGlowshroom, Green Glowshroom
Natura:Blazerail, Blaze Rail
Natura:BrailPowered, Powered Blaze Rail
Natura:BrailDetector, Detector Blaze Rail
Natura:BrailActivator, Activator Blaze Rail
Natura:NetherFurnace, Nether Furnace
Natura:Obelisk, Obelisk
Natura:NetherGlass:0, Soul Glass
Natura:NetherGlass:1, Heat Glass
Natura:NetherHopper, Hopper
Natura:NetherPressurePlate, Placa de Pressão
Natura:NetherButton, Botão
Natura:NetherLever, Alavanca
Natura:Rare Tree:0, Maple Wood
Natura:Rare Tree:1, Silverbell Wood
Natura:Rare Tree:2, Amaranth Wood
Natura:Rare Tree:3, Tiger Wood
Natura:Rare Leaves:0, Maple Leaves
Natura:Rare Leaves:1, Silverbell Leaves
Natura:Rare Leaves:2, Amaranth Leaves
Natura:Rare Leaves:3, Tiger Leaves
Natura:Rare Sapling:0, Maple Sapling
Natura:Rare Sapling:1, Silverbell Sapling
Natura:Rare Sapling:2, Amaranth Sapling
Natura:Rare Sapling:3, Tigerwood Sapling
Natura:Rare Sapling:4, Willow Sapling
Natura:Bluebells, Bluebells
Natura:Natura.workbench:0, Bancada de Trabalho
Natura:Natura.workbench:1, Bancada de Trabalho
Natura:Natura.workbench:2, Bancada de Trabalho
Natura:Natura.workbench:3, Bancada de Trabalho
Natura:Natura.workbench:4, Bancada de Trabalho
Natura:Natura.workbench:5, Bancada de Trabalho
Natura:Natura.workbench:6, Bancada de Trabalho
Natura:Natura.workbench:7, Bancada de Trabalho
Natura:Natura.workbench:8, Bancada de Trabalho
Natura:Natura.workbench:9, Bancada de Trabalho
Natura:Natura.workbench:10, Bancada de Trabalho
Natura:Natura.workbench:11, Bancada de Trabalho
Natura:Natura.workbench:12, Bancada de Trabalho
Natura:Natura.bookshelf:0, Estante
Natura:Natura.bookshelf:1, Estante
Natura:Natura.bookshelf:2, Estante
Natura:Natura.bookshelf:3, Estante
Natura:Natura.bookshelf:4, Estante
Natura:Natura.bookshelf:5, Estante
Natura:Natura.bookshelf:6, Estante
Natura:Natura.bookshelf:7, Estante
Natura:Natura.bookshelf:8, Estante
Natura:Natura.bookshelf:9, Estante
Natura:Natura.bookshelf:10, Estante
Natura:Natura.bookshelf:11, Estante
Natura:Natura.bookshelf:12, Estante
Natura:Natura.fence:0, Cerca
Natura:Natura.fence:1, Cerca
Natura:Natura.fence:2, Cerca
Natura:Natura.fence:3, Cerca
Natura:Natura.fence:4, Cerca
Natura:Natura.fence:5, Cerca
Natura:Natura.fence:6, Cerca
Natura:Natura.fence:7, Cerca
Natura:Natura.fence:8, Cerca
Natura:Natura.fence:9, Cerca
Natura:Natura.fence:10, Cerca
Natura:Natura.fence:11, Cerca
Natura:Natura.fence:12, Cerca
Natura:GrassBlock:0, Topiary Grass
Natura:GrassBlock:1, Bluegrass
Natura:GrassBlock:2, Autumnal Grass
Natura:GrassSlab:0, Topiary Grass Slab
Natura:GrassSlab:1, Bluegrass Slab
Natura:GrassSlab:2, Autumnal Grass Slab
Natura:plankSlab1:0, Eucalyptus Slab
Natura:plankSlab1:1, Sakura Slab
Natura:plankSlab1:2, Ghostwood Slab
Natura:plankSlab1:3, Redwood Slab
Natura:plankSlab1:4, Blood Slab
Natura:plankSlab1:5, Hopseed Slab
Natura:plankSlab1:6, Maple Slab
Natura:plankSlab1:7, Silverbell Slab
Natura:plankSlab2:0, Amaranth Slab
Natura:plankSlab2:1, Tigerwood Slab
Natura:plankSlab2:2, Willow Slab
Natura:plankSlab2:3, Darkwood Slab
Natura:plankSlab2:4, Fusewood Slab
Natura:stair.eucalyptus, Eucalyptus Stairs
Natura:stair.sakura, Sakura Stairs
Natura:stair.ghostwood, Ghostwood Stairs
Natura:stair.redwood, Redwood Stairs
Natura:stair.bloodwood, Blood Stairs
Natura:stair.hopseed, Hopseed Stairs
Natura:stair.maple, Maple Stairs
Natura:stair.silverbell, Silverbell Stairs
Natura:stair.amaranth, Amaranth Stairs
Natura:stair.tiger, Tigerwood Stairs
Natura:stair.willow, Willow Stairs
Natura:stair.darkwood, Darkwood Stairs
Natura:stair.fusewood, Fusewood Stairs
Natura:pressureplate.eucalyptus, Eucalyptus Pressure Plate
Natura:trapdoor.eucalyptus, Eucalyptus Trapdoor
Natura:button.eucalyptus, Eucalyptus Button
Natura:fenceGate.eucalyptus, Eucalyptus Fence Gate
Natura:pressureplate.sakura, Sakura Pressure Plate
Natura:trapdoor.sakura, Sakura Trapdoor
Natura:button.sakura, Sakura Button
Natura:fenceGate.sakura, Sakura Fence Gate
Natura:pressureplate.ghostwood, Ghostwood Pressure Plate
Natura:trapdoor.ghostwood, Ghostwood Trapdoor
Natura:button.ghostwood, Ghostwood Button
Natura:fenceGate.ghostwood, Ghostwood Fence Gate
Natura:pressureplate.redwood, Redwood Pressure Plate
Natura:trapdoor.redwood, Redwood Trapdoor
Natura:button.redwood, Redwood Button
Natura:fenceGate.redwood, Redwood Fence Gate
Natura:pressureplate.bloodwood, Blood Pressure Plate
Natura:trapdoor.bloodwood, Blood Trapdoor
Natura:button.bloodwood, Blood Button
Natura:fenceGate.bloodwood, Blood Fence Gate
Natura:pressureplate.hopseed, Hopseed Pressure Plate
Natura:trapdoor.hopseed, Hopseed Trapdoor
Natura:button.hopseed, Hopseed Button
Natura:fenceGate.hopseed, Hopseed Fence Gate
Natura:pressureplate.maple, Maple Pressure Plate
Natura:trapdoor.maple, Maple Trapdoor
Natura:button.maple, Maple Button
Natura:fenceGate.maple, Maple Fence Gate
Natura:pressureplate.amaranth, Amaranth Pressure Plate
Natura:trapdoor.amaranth, Amaranth Trapdoor
Natura:button.amaranth, Amaranth Button
Natura:fenceGate.amaranth, Amaranth Fence Gate
Natura:pressureplate.silverbell, Silverbell Pressure Plate
Natura:trapdoor.silverbell, Silverbell Trapdoor
Natura:button.silverbell, Silverbell Button
Natura:fenceGate.silverbell, Silverbell Fence Gate
Natura:pressureplate.tiger, Tigerwood Pressure Plate
Natura:trapdoor.tiger, Tigerwood Trapdoor
Natura:button.tiger, Tigerwood Button
Natura:fenceGate.tiger, Tigerwood Fence Gate
Natura:pressureplate.willow, Willow Pressure Plate
Natura:trapdoor.willow, Willow Trapdoor
Natura:button.willow, Willow Button
Natura:fenceGate.willow, Willow Fence Gate
Natura:pressureplate.darkwood, Darkwood Pressure Plate
Natura:trapdoor.darkwood, Darkwood Trapdoor
Natura:button.darkwood, Darkwood Button
Natura:fenceGate.darkwood, Darkwood Fence Gate
Natura:pressureplate.fusewood, Fusewood Pressure Plate
Natura:trapdoor.fusewood, Fusewood Trapdoor
Natura:button.fusewood, Fusewood Button
Natura:fenceGate.fusewood, Fusewood Fence Gate
Forestry:core:0, Analisador
Forestry:core:1, Escrivaninha
Forestry:soil:0, Húmus
Forestry:soil:1, Terra do Pântano
Forestry:resources:0, Minério de Apatita
Forestry:resources:1, Minério de Cobre
Forestry:resources:2, Minério de Estanho
Forestry:resourceStorage:0, Bloco de Apatita
Forestry:resourceStorage:1, Bloco de Cobre
Forestry:resourceStorage:2, Bloco de Estanho
Forestry:resourceStorage:3, Bloco de Bronze
Forestry:fluid.bioethanol, Etanol
Forestry:fluid.biomass, Biomassa
Forestry:fluid.glass, Vidro Líquido
Forestry:fluid.honey, Mel
Forestry:fluid.ice, Gelo Picado
Forestry:fluid.juice, Suco de Fruta
Forestry:fluid.milk, Leite
Forestry:fluid.seedoil, Óleo Vegetal
Forestry:fluid.short.mead, Hidromel
Forestry:fluid.mead, Mead
Forestry:apiculture:0, Apiário
Forestry:apiculture:2, Colméia
Forestry:apicultureChest:0, Baú do Apiarista
Forestry:beehives:1, Colméia da Floresta
Forestry:beehives:2, Colméia dos Prados
Forestry:beehives:3, Colméia Modesta
Forestry:beehives:4, Colméia Tropical
Forestry:beehives:6, Colméia Invernal
Forestry:beehives:7, Colméia do Alagadiço
Forestry:candle:0, Vela Apagada
Forestry:stump:0, Toco de Vela
Forestry:alveary:0, Apiaryum
Forestry:alveary:2, Enxame
Forestry:alveary:3, Apiaryum, Ventilador
Forestry:alveary:4, Apiaryum, Aquecedor
Forestry:alveary:5, Apiaryum, Hidroregulador
Forestry:alveary:6, Apiaryum, Estabilizador
Forestry:alveary:7, Apiaryum, Peneira
Forestry:logs:0, Madeira de Larício
Forestry:logs:1, Madeira de Teca
Forestry:logs:2, Madeira de Acacia
Forestry:logs:3, Madeira de Lima
Forestry:logs:4, Madeira de Castanha
Forestry:logs:5, Madeira de Wengué
Forestry:logs:6, Madeira de Baobá
Forestry:logs:7, Madeira de Sequóia
Forestry:logs:8, Madeira de Sumaúma
Forestry:logs:9, Madeira de Ébano
Forestry:logs:10, Madeira de Mógno
Forestry:logs:11, Madeira de Balsa
Forestry:logs:12, Madeira de Salgueiro
Forestry:logs:13, Madeira de Nogueira
Forestry:logs:14, Madeira de Coração-Verde
Forestry:logs:15, Madeira de Cereja
Forestry:logs:16, Madeira de Pau-de-Sebo
Forestry:logs:17, Madeira de Álamo
Forestry:logs:18, Madeira de Palmeira
Forestry:logs:19, Madeira de Mamão
Forestry:logs:20, Madeira de Pinho
Forestry:logs:21, Madeira de Ameixa
Forestry:logs:22, Madeira de Bordo
Forestry:logs:23, Madeira de Citros
Forestry:logs:24, Madeira de Sequóia Gigante
Forestry:logs:25, Madeira de Ipê
Forestry:logs:26, Madeira de Pau-Brasil
Forestry:logs:27, Madeira de Cocobolo
Forestry:logs:28, Madeira de Zebrano
Forestry:planks:0, Placas de Madeira de Larício
Forestry:planks:1, Placas de Madeira de Teca
Forestry:planks:2, Placas de Madeira de Acacia
Forestry:planks:3, Placas de Madeira de Lima
Forestry:planks:4, Placas de Madeira de Castanha
Forestry:planks:5, Placas de Madeira de Wengué
Forestry:planks:6, Placas de Madeira de Baobá
Forestry:planks:7, Placas de Madeira de Sequóia
Forestry:planks:8, Placas de Madeira de Sumaúma
Forestry:planks:9, Placas de Madeira de Ébano
Forestry:planks:10, Placas de Madeira de Mógno
Forestry:planks:11, Placas de Madeira de Balsa
Forestry:planks:12, Placas de Madeira de Salgueiro
Forestry:planks:13, Placas de Madeira de Nogueira
Forestry:planks:14, Placas de Madeira de Coração-Verde
Forestry:planks:15, Placas de Madeira de Cereja
Forestry:planks:16, Placas de Madeira de Pau-de-Sebo
Forestry:planks:17, Placas de Madeira de Álamo
Forestry:planks:18, Placas de Madeira de Palmeira
Forestry:planks:19, Placas de Madeira de Mamão
Forestry:planks:20, Placas de Madeira de Pinho
Forestry:planks:21, Placas de Madeira de Ameixa
Forestry:planks:22, Placas de Madeira de Bordo
Forestry:planks:23, Placas de Madeira de Citros
Forestry:planks:24, Placas de Madeira de Sequóia Gigante
Forestry:planks:25, Placas de Madeira de Ipê
Forestry:planks:26, Placas de Madeira de Pau-Brasil
Forestry:planks:27, Placas de Madeira de Cocobolo
Forestry:planks:28, Placas de Madeira de Zebrano
Forestry:slabs:0, Lajes de Madeira de Larício
Forestry:slabs:1, Lajes de Madeira de Teca
Forestry:slabs:2, Lajes de Madeira de Acacia
Forestry:slabs:3, Lajes de Madeira de Lima
Forestry:slabs:4, Lajes de Madeira de Castanha
Forestry:slabs:5, Lajes de Madeira de Wengué
Forestry:slabs:6, Lajes de Madeira de Baobá
Forestry:slabs:7, Lajes de Madeira de Sequóia
Forestry:slabs:8, Lajes de Madeira de Sumaúma
Forestry:slabs:9, Lajes de Madeira de Ébano
Forestry:slabs:10, Lajes de Madeira de Mógno
Forestry:slabs:11, Lajes de Madeira de Balsa
Forestry:slabs:12, Lajes de Madeira de Salgueiro
Forestry:slabs:13, Lajes de Madeira de Nogueira
Forestry:slabs:14, Lajes de Madeira de Coração-Verde
Forestry:slabs:15, Lajes de Madeira de Cereja
Forestry:slabs:16, Lajes de Madeira de Pau-de-Sebo
Forestry:slabs:17, Lajes de Madeira de Álamo
Forestry:slabs:18, Lajes de Madeira de Palmeira
Forestry:slabs:19, Lajes de Madeira de Mamão
Forestry:slabs:20, Lajes de Madeira de Pinho
Forestry:slabs:21, Lajes de Madeira de Ameixa
Forestry:slabs:22, Lajes de Madeira de Bordo
Forestry:slabs:23, Lajes de Madeira de Citros
Forestry:slabs:24, Lajes de Madeira de Sequóia Gigante
Forestry:slabs:25, Lajes de Madeira de Ipê
Forestry:slabs:26, Lajes de Madeira de Pau-Brasil
Forestry:slabs:27, Lajes de Madeira de Cocobolo
Forestry:slabs:28, Lajes de Madeira de Zebrano
Forestry:fences:0, Cerca de Larício
Forestry:fences:1, Cerca de Teca
Forestry:fences:2, Cerca de Acacia
Forestry:fences:3, Cerca de Lima
Forestry:fences:4, Cerca de Castanha
Forestry:fences:5, Cerca de Wengué
Forestry:fences:6, Cerca de Baobá
Forestry:fences:7, Cerca de Sequóia
Forestry:fences:8, Cerca de Sumaúma
Forestry:fences:9, Cerca de Ébano
Forestry:fences:10, Cerca de Mógno
Forestry:fences:11, Cerca de Balsa
Forestry:fences:12, Cerca de Salgueiro
Forestry:fences:13, Cerca de Nogueira
Forestry:fences:14, Cerca de Coração-Verde
Forestry:fences:15, Cerca de Cereja
Forestry:fences:16, Cerca de Pau-de-Sebo
Forestry:fences:17, Cerca de Álamo
Forestry:fences:18, Cerca de Palmeira
Forestry:fences:19, Cerca de Mamão
Forestry:fences:20, Cerca de Pinho
Forestry:fences:21, Cerca de Ameixa
Forestry:fences:22, Cerca de Bordo
Forestry:fences:23, Cerca de Citros
Forestry:fences:24, Cerca de Sequóia Gigante
Forestry:fences:25, Cerca de Ipê
Forestry:fences:26, Cerca de Pau-Brasil
Forestry:fences:27, Cerca de Cocobolo
Forestry:fences:28, Cerca de Zebrano
Forestry:stairs:0, Escadas de Madeira de Larício
Forestry:stairs:1, Escadas de Madeira de Teca
Forestry:stairs:2, Escadas de Madeira de Acacia
Forestry:stairs:3, Escadas de Madeira de Lima
Forestry:stairs:4, Escadas de Madeira de Castanha
Forestry:stairs:5, Escadas de Madeira de Wengué
Forestry:stairs:6, Escadas de Madeira de Baobá
Forestry:stairs:7, Escadas de Madeira de Sequóia
Forestry:stairs:8, Escadas de Madeira de Sumaúma
Forestry:stairs:9, Escadas de Madeira de Ébano
Forestry:stairs:10, Escadas de Madeira de Mógno
Forestry:stairs:11, Escadas de Madeira de Balsa
Forestry:stairs:12, Escadas de Madeira de Salgueiro
Forestry:stairs:13, Escadas de Madeira de Nogueira
Forestry:stairs:14, Escadas de Madeira de Coração-Verde
Forestry:stairs:15, Escadas de Madeira de Cereja
Forestry:stairs:16, Escadas de Madeira de Pau-de-Sebo
Forestry:stairs:17, Escadas de Madeira de Álamo
Forestry:stairs:18, Escadas de Madeira de Palmeira
Forestry:stairs:19, Escadas de Madeira de Mamão
Forestry:stairs:20, Escadas de Madeira de Pinho
Forestry:stairs:21, Escadas de Madeira de Ameixa
Forestry:stairs:22, Escadas de Madeira de Bordo
Forestry:stairs:23, Escadas de Madeira de Citros
Forestry:stairs:24, Escadas de Madeira de Sequóia Gigante
Forestry:stairs:25, Escadas de Madeira de Ipê
Forestry:stairs:26, Escadas de Madeira de Pau-Brasil
Forestry:stairs:27, Escadas de Madeira de Cocobolo
Forestry:stairs:28, Escadas de Madeira de Zebrano
Forestry:logsFireproof:0, Madeira de Larício (À Prova de Fogo)
Forestry:logsFireproof:1, Madeira de Teca (À Prova de Fogo)
Forestry:logsFireproof:2, Madeira de Acacia (À Prova de Fogo)
Forestry:logsFireproof:3, Madeira de Lima (À Prova de Fogo)
Forestry:logsFireproof:4, Madeira de Castanha (À Prova de Fogo)
Forestry:logsFireproof:5, Madeira de Wengué (À Prova de Fogo)
Forestry:logsFireproof:6, Madeira de Baobá (À Prova de Fogo)
Forestry:logsFireproof:7, Madeira de Sequóia (À Prova de Fogo)
Forestry:logsFireproof:8, Madeira de Sumaúma (À Prova de Fogo)
Forestry:logsFireproof:9, Madeira de Ébano (À Prova de Fogo)
Forestry:logsFireproof:10, Madeira de Mógno (À Prova de Fogo)
Forestry:logsFireproof:11, Madeira de Balsa (À Prova de Fogo)
Forestry:logsFireproof:12, Madeira de Salgueiro (À Prova de Fogo)
Forestry:logsFireproof:13, Madeira de Nogueira (À Prova de Fogo)
Forestry:logsFireproof:14, Madeira de Coração-Verde (À Prova de Fogo)
Forestry:logsFireproof:15, Madeira de Cereja (À Prova de Fogo)
Forestry:logsFireproof:16, Madeira de Pau-de-Sebo (À Prova de Fogo)
Forestry:logsFireproof:17, Madeira de Álamo (À Prova de Fogo)
Forestry:logsFireproof:18, Madeira de Palmeira (À Prova de Fogo)
Forestry:logsFireproof:19, Madeira de Mamão (À Prova de Fogo)
Forestry:logsFireproof:20, Madeira de Pinho (À Prova de Fogo)
Forestry:logsFireproof:21, Madeira de Ameixa (À Prova de Fogo)
Forestry:logsFireproof:22, Madeira de Bordo (À Prova de Fogo)
Forestry:logsFireproof:23, Madeira de Citros (À Prova de Fogo)
Forestry:logsFireproof:24, Madeira de Sequóia Gigante (À Prova de Fogo)
Forestry:logsFireproof:25, Madeira de Ipê (À Prova de Fogo)
Forestry:logsFireproof:26, Madeira de Pau-Brasil (À Prova de Fogo)
Forestry:logsFireproof:27, Madeira de Cocobolo (À Prova de Fogo)
Forestry:logsFireproof:28, Madeira de Zebrano (À Prova de Fogo)
Forestry:planksFireproof:0, Placas de Madeira de Larício (À Prova de Fogo)
Forestry:planksFireproof:1, Placas de Madeira de Teca (À Prova de Fogo)
Forestry:planksFireproof:2, Placas de Madeira de Acacia (À Prova de Fogo)
Forestry:planksFireproof:3, Placas de Madeira de Lima (À Prova de Fogo)
Forestry:planksFireproof:4, Placas de Madeira de Castanha (À Prova de Fogo)
Forestry:planksFireproof:5, Placas de Madeira de Wengué (À Prova de Fogo)
Forestry:planksFireproof:6, Placas de Madeira de Baobá (À Prova de Fogo)
Forestry:planksFireproof:7, Placas de Madeira de Sequóia (À Prova de Fogo)
Forestry:planksFireproof:8, Placas de Madeira de Sumaúma (À Prova de Fogo)
Forestry:planksFireproof:9, Placas de Madeira de Ébano (À Prova de Fogo)
Forestry:planksFireproof:10, Placas de Madeira de Mógno (À Prova de Fogo)
Forestry:planksFireproof:11, Placas de Madeira de Balsa (À Prova de Fogo)
Forestry:planksFireproof:12, Placas de Madeira de Salgueiro (À Prova de Fogo)
Forestry:planksFireproof:13, Placas de Madeira de Nogueira (À Prova de Fogo)
Forestry:planksFireproof:14, Placas de Madeira de Coração-Verde (À Prova de Fogo)
Forestry:planksFireproof:15, Placas de Madeira de Cereja (À Prova de Fogo)
Forestry:planksFireproof:16, Placas de Madeira de Pau-de-Sebo (À Prova de Fogo)
Forestry:planksFireproof:17, Placas de Madeira de Álamo (À Prova de Fogo)
Forestry:planksFireproof:18, Placas de Madeira de Palmeira (À Prova de Fogo)
Forestry:planksFireproof:19, Placas de Madeira de Mamão (À Prova de Fogo)
Forestry:planksFireproof:20, Placas de Madeira de Pinho (À Prova de Fogo)
Forestry:planksFireproof:21, Placas de Madeira de Ameixa (À Prova de Fogo)
Forestry:planksFireproof:22, Placas de Madeira de Bordo (À Prova de Fogo)
Forestry:planksFireproof:23, Placas de Madeira de Citros (À Prova de Fogo)
Forestry:planksFireproof:24, Placas de Madeira de Sequóia Gigante (À Prova de Fogo)
Forestry:planksFireproof:25, Placas de Madeira de Ipê (À Prova de Fogo)
Forestry:planksFireproof:26, Placas de Madeira de Pau-Brasil (À Prova de Fogo)
Forestry:planksFireproof:27, Placas de Madeira de Cocobolo (À Prova de Fogo)
Forestry:planksFireproof:28, Placas de Madeira de Zebrano (À Prova de Fogo)
Forestry:slabsFireproof:0, Lajes de Madeira de Larício (À Prova de Fogo)
Forestry:slabsFireproof:1, Lajes de Madeira de Teca (À Prova de Fogo)
Forestry:slabsFireproof:2, Lajes de Madeira de Acacia (À Prova de Fogo)
Forestry:slabsFireproof:3, Lajes de Madeira de Lima (À Prova de Fogo)
Forestry:slabsFireproof:4, Lajes de Madeira de Castanha (À Prova de Fogo)
Forestry:slabsFireproof:5, Lajes de Madeira de Wengué (À Prova de Fogo)
Forestry:slabsFireproof:6, Lajes de Madeira de Baobá (À Prova de Fogo)
Forestry:slabsFireproof:7, Lajes de Madeira de Sequóia (À Prova de Fogo)
Forestry:slabsFireproof:8, Lajes de Madeira de Sumaúma (À Prova de Fogo)
Forestry:slabsFireproof:9, Lajes de Madeira de Ébano (À Prova de Fogo)
Forestry:slabsFireproof:10, Lajes de Madeira de Mógno (À Prova de Fogo)
Forestry:slabsFireproof:11, Lajes de Madeira de Balsa (À Prova de Fogo)
Forestry:slabsFireproof:12, Lajes de Madeira de Salgueiro (À Prova de Fogo)
Forestry:slabsFireproof:13, Lajes de Madeira de Nogueira (À Prova de Fogo)
Forestry:slabsFireproof:14, Lajes de Madeira de Coração-Verde (À Prova de Fogo)
Forestry:slabsFireproof:15, Lajes de Madeira de Cereja (À Prova de Fogo)
Forestry:slabsFireproof:16, Lajes de Madeira de Pau-de-Sebo (À Prova de Fogo)
Forestry:slabsFireproof:17, Lajes de Madeira de Álamo (À Prova de Fogo)
Forestry:slabsFireproof:18, Lajes de Madeira de Palmeira (À Prova de Fogo)
Forestry:slabsFireproof:19, Lajes de Madeira de Mamão (À Prova de Fogo)
Forestry:slabsFireproof:20, Lajes de Madeira de Pinho (À Prova de Fogo)
Forestry:slabsFireproof:21, Lajes de Madeira de Ameixa (À Prova de Fogo)
Forestry:slabsFireproof:22, Lajes de Madeira de Bordo (À Prova de Fogo)
Forestry:slabsFireproof:23, Lajes de Madeira de Citros (À Prova de Fogo)
Forestry:slabsFireproof:24, Lajes de Madeira de Sequóia Gigante (À Prova de Fogo)
Forestry:slabsFireproof:25, Lajes de Madeira de Ipê (À Prova de Fogo)
Forestry:slabsFireproof:26, Lajes de Madeira de Pau-Brasil (À Prova de Fogo)
Forestry:slabsFireproof:27, Lajes de Madeira de Cocobolo (À Prova de Fogo)
Forestry:slabsFireproof:28, Lajes de Madeira de Zebrano (À Prova de Fogo)
Forestry:fencesFireproof:0, Cerca de Larício (À Prova de Fogo)
Forestry:fencesFireproof:1, Cerca de Teca (À Prova de Fogo)
Forestry:fencesFireproof:2, Cerca de Acacia (À Prova de Fogo)
Forestry:fencesFireproof:3, Cerca de Lima (À Prova de Fogo)
Forestry:fencesFireproof:4, Cerca de Castanha (À Prova de Fogo)
Forestry:fencesFireproof:5, Cerca de Wengué (À Prova de Fogo)
Forestry:fencesFireproof:6, Cerca de Baobá (À Prova de Fogo)
Forestry:fencesFireproof:7, Cerca de Sequóia (À Prova de Fogo)
Forestry:fencesFireproof:8, Cerca de Sumaúma (À Prova de Fogo)
Forestry:fencesFireproof:9, Cerca de Ébano (À Prova de Fogo)
Forestry:fencesFireproof:10, Cerca de Mógno (À Prova de Fogo)
Forestry:fencesFireproof:11, Cerca de Balsa (À Prova de Fogo)
Forestry:fencesFireproof:12, Cerca de Salgueiro (À Prova de Fogo)
Forestry:fencesFireproof:13, Cerca de Nogueira (À Prova de Fogo)
Forestry:fencesFireproof:14, Cerca de Coração-Verde (À Prova de Fogo)
Forestry:fencesFireproof:15, Cerca de Cereja (À Prova de Fogo)
Forestry:fencesFireproof:16, Cerca de Pau-de-Sebo (À Prova de Fogo)
Forestry:fencesFireproof:17, Cerca de Álamo (À Prova de Fogo)
Forestry:fencesFireproof:18, Cerca de Palmeira (À Prova de Fogo)
Forestry:fencesFireproof:19, Cerca de Mamão (À Prova de Fogo)
Forestry:fencesFireproof:20, Cerca de Pinho (À Prova de Fogo)
Forestry:fencesFireproof:21, Cerca de Ameixa (À Prova de Fogo)
Forestry:fencesFireproof:22, Cerca de Bordo (À Prova de Fogo)
